Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t23	2	1	6	5	4	3	304	53	53
t13	2	1	6	5	4	3	226	75	75
t23	2	3	1	4	5	6	3828	173	173
t13	2	3	1	4	5	6	464	28	28
t23	2	3	1	4	6	5	3910	173	173
t13	2	3	1	4	6	5	464	28	28
t23	2	3	1	5	4	6	17630	173	173
t13	2	3	1	5	4	6	464	28	28
t23	2	3	1	5	6	4	9842	173	173
t13	2	3	1	5	6	4	464	28	28
t23	2	3	1	6	4	5	0	173	173
t13	2	3	1	6	4	5	0	28	28
t23	2	3	1	6	5	4	0	173	173
t13	2	3	1	6	5	4	0	28	28
t23	2	3	4	1	5	6	516	173	173
t13	2	3	4	1	5	6	84	31	31
t23	2	3	4	1	6	5	556	173	173
t13	2	3	4	1	6	5	84	31	31
t23	2	3	4	5	1	6	0	173	173
t13	2	3	4	5	1	6	0	28	49
t23	2	3	4	5	6	1	0	173	173
t13	2	3	4	5	6	1	0	28	34
t23	2	3	4	6	1	5	0	173	173
t13	2	3	4	6	1	5	0	28	49
t23	2	3	4	6	5	1	0	173	173
t13	2	3	4	6	5	1	0	28	34
t23	2	3	5	1	4	6	369	173	173
t13	2	3	5	1	4	6	105	53	53
t23	2	3	5	1	6	4	414	173	173
t13	2	3	5	1	6	4	156	48	48
t23	2	3	5	4	1	6	474	173	173
t13	2	3	5	4	1	6	157	53	53
t23	2	3	5	4	6	1	2530	173	173
t13	2	3	5	4	6	1	1097	48	48
t23	2	3	5	6	1	4	0	173	173
t13	2	3	5	6	1	4	0	28	55
t23	2	3	5	6	4	1	0	173	173
t13	2	3	5	6	4	1	0	28	55
t23	2	3	6	1	4	5	108	53	53
t13	2	3	6	1	4	5	159	75	75
t23	2	3	6	1	5	4	109	53	53
t13	2	3	6	1	5	4	176	75	75
t23	2	3	6	4	1	5	147	53	53
t13	2	3	6	4	1	5	217	75	75
t23	2	3	6	4	5	1	129	53	53
t13	2	3	6	4	5	1	222	75	75
t23	2	3	6	5	1	4	195	53	53
t13	2	3	6	5	1	4	306	75	75
t23	2	3	6	5	4	1	268	53	53
t13	2	3	6	5	4	1	337	75	75
t23	2	4	1	3	5	6	27102	173	173
t13	2	4	1	3	5	6	4492	31	31
t23	2	4	1	3	6	5	27971	173	173
t13	2	4	1	3	6	5	4492	31	31
t23	2	4	1	5	3	6	0	173	173
t13	2	4	1	5	3	6	0	28	49
t23	2	4	1	5	6	3	0	173	173
t13	2	4	1	5	6	3	0	28	34
t23	2	4	1	6	3	5	0	173	173
t13	2	4	1	6	3	5	0	28	49
t23	2	4	1	6	5	3	0	173	173
t13	2	4	1	6	5	3	0	28	34
t23	2	4	3	1	5	6	1073	173	173
t13	2	4	3	1	5	6	255	31	31
t23	2	4	3	1	6	5	1214	173	173
t13	2	4	3	1	6	5	255	31	31
t23	2	4	3	5	1	6	0	173	173
t13	2	4	3	5	1	6	0	28	49
t23	2	4	3	5	6	1	0	173	173
t13	2	4	3	5	6	1	0	28	34
t23	2	4	3	6	1	5	0	173	173
t13	2	4	3	6	1	5	0	28	49
t23	2	4	3	6	5	1	0	173	173
t13	2	4	3	6	5	1	0	28	34
t23	2	4	5	1	3	6	353	173	173
t13	2	4	5	1	3	6	139	53	53
t23	2	4	5	1	6	3	635	173	173
t13	2	4	5	1	6	3	299	48	48
t23	2	4	5	3	1	6	429	173	173
t13	2	4	5	3	1	6	172	53	53
t23	2	4	5	3	6	1	1667	173	173
t13	2	4	5	3	6	1	774	48	48
t23	2	4	5	6	1	3	0	173	173
t13	2	4	5	6	1	3	0	28	55
t23	2	4	5	6	3	1	0	173	173
t13	2	4	5	6	3	1	0	28	55
t23	2	4	6	1	3	5	90	53	53
t13	2	4	6	1	3	5	193	75	75
t23	2	4	6	1	5	3	103	53	53
t13	2	4	6	1	5	3	202	75	75
t23	2	4	6	3	1	5	96	53	53
t13	2	4	6	3	1	5	213	75	75
t23	2	4	6	3	5	1	111	53	53
t13	2	4	6	3	5	1	233	75	75
t23	2	4	6	5	1	3	171	53	53
t13	2	4	6	5	1	3	336	75	75
t23	2	4	6	5	3	1	227	53	53
t13	2	4	6	5	3	1	425	75	75
t23	2	5	1	3	4	6	0	173	173
t13	2	5	1	3	4	6	0	53	53
t23	2	5	1	3	6	4	0	173	173
t13	2	5	1	3	6	4	0	48	48
t23	2	5	1	4	3	6	0	173	173
t13	2	5	1	4	3	6	0	53	53
t23	2	5	1	4	6	3	0	173	173
