Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
2	242	True	13	80	0	2	1	model-242.graphml	T17	1749
2	243	True	13	80	0	2	1	model-243.graphml	T12	2245
2	244	True	13	80	0	2	1	model-244.graphml	T12	2245
2	245	True	13	80	0	2	1	model-245.graphml	T12	2245
2	246	True	13	80	0	2	1	model-246.graphml	T17	2245
2	247	True	13	80	0	2	1	model-247.graphml	T12	2245
2	248	True	13	80	0	2	1	model-248.graphml	T17	2245
2	249	True	13	80	0	2	1	model-249.graphml	T17	2245
2	250	True	13	80	0	2	1	model-250.graphml	T12	2245
2	251	True	13	90	0	2	1	model-251.graphml	T17	1966
2	252	True	13	90	0	2	1	model-252.graphml	T17	2526
2	253	True	13	90	0	2	1	model-253.graphml	T17	1966
2	254	True	13	90	0	2	1	model-254.graphml	T17	2526
2	255	True	13	90	0	2	1	model-255.graphml	T17	2526
2	256	True	13	90	0	2	1	model-256.graphml	T17	2526
2	257	True	13	90	0	2	1	model-257.graphml	T12	2526
2	258	True	13	90	0	2	1	model-258.graphml	T12	2526
2	259	True	13	90	0	2	1	model-259.graphml	T12	2526
2	260	True	13	90	0	2	1	model-260.graphml	T12	1966
2	261	True	13	95	0	2	1	model-261.graphml	T12	2222
2	262	True	13	95	0	2	1	model-262.graphml	T17	4296
2	263	True	13	95	0	2	1	model-263.graphml	T12	4148
2	264	True	13	95	0	2	1	model-264.graphml	T17	4148
2	265	True	13	95	0	2	1	model-265.graphml	T17	2074
2	266	True	13	95	0	2	1	model-266.graphml	T12	2074
2	267	True	13	95	0	2	1	model-267.graphml	T17	3260
2	268	True	13	95	0	2	1	model-268.graphml	T12	2074
2	269	True	13	95	0	2	1	model-269.graphml	T17	2074
2	270	True	13	95	0	2	1	model-270.graphml	T17	3704
2	271	True	13	98	0	2	1	model-271.graphml	T17	2142
2	272	True	13	98	0	2	1	model-272.graphml	T17	4284
2	273	True	13	98	0	2	1	model-273.graphml	T17	4436
2	274	True	13	98	0	2	1	model-274.graphml	T17	2142
2	275	True	13	98	0	2	1	model-275.graphml	T17	4588
2	276	True	13	98	0	2	1	model-276.graphml	T12	4132
2	277	True	13	98	0	2	1	model-277.graphml	T17	2142
2	278	True	13	98	0	2	1	model-278.graphml	T17	2916
2	279	True	13	98	0	2	1	model-279.graphml	T12	4588
2	280	True	13	98	0	2	1	model-280.graphml	T12	2142
1	281	True	13	50	0	2	2	model-281.graphml	T25	424
1	282	True	13	50	0	2	2	model-282.graphml	T12	1805
1	283	True	13	50	0	2	2	model-283.graphml	T12	2644
1	284	True	13	50	0	2	2	model-284.graphml	T25	424
1	285	True	13	50	0	2	2	model-285.graphml	T12	1805
1	286	True	13	50	0	2	2	model-286.graphml	T12	1805
1	287	True	13	50	0	2	2	model-287.graphml	T25	2336
1	288	True	13	50	0	2	2	model-288.graphml	T12	2644
